藤井聡太 藤井聪太
永瀬拓矢 永濑拓矢
伊藤匠 伊藤匠
佐々木勇気 佐佐木勇气
近藤誠也 近藤诚也
服部慎一郎 服部慎一郎
広瀬章人 广濑章人
佐藤天彦 佐藤天彦
渡辺明 渡边明
佐々木大地 佐佐木大地
増田康宏 增田康宏
八代弥 八代弥
大橋貴洸 大桥贵洸
斎藤慎太郎 斋藤慎太郎
羽生善治 羽生善治
菅井竜也 菅井龙也
糸谷哲郎 糸谷哲郎
斎藤明日斗 斋藤明日斗
藤本渚 藤本渚
丸山忠久 丸山忠久
澤田真吾 泽田真吾
西田拓也 西田拓也
豊島将之 丰岛将之
高見泰地 高见泰地
杉本和陽 杉本和阳
岡部怜央 冈部怜央
石井健太郎 石井健太郎
池永天志 池永天志
梶浦宏孝 梶浦宏孝
郷田真隆 乡田真隆
青嶋未来 青岛未来
阿久津主税 阿久津主税
高野智史 高野智史
古賀悠聖 古贺悠圣
千田翔太 千田翔太
山崎隆之 山崎隆之
三浦弘行 三浦弘行
井田明宏 井田明宏
稲葉陽 稻叶阳
森内俊之 森内俊之
本田奎 本田奎
中村太地 中村太地
大石直嗣 大石直嗣
佐藤康光 佐藤康光
狩山幹生 狩山干生
木村一基 木村一基
深浦康市 深浦康市
三枚堂達也 三枚堂达也
都成竜馬 都成龙马
佐々木慎 佐佐木慎
渡辺和史 渡边和史
黒沢怜生 黑泽怜生
出口若武 出口若武
及川拓馬 及川拓马
屋敷伸之 屋敷伸之
横山泰明 横山泰明
行方尚史 行方尚史
久保利明 久保利明
黒田尭之 黑田尧之
戸辺誠 户边诚
石川優太 石川优太
高田明浩 高田明浩
長谷部浩平 长谷部浩平
上野裕寿 上野裕寿
冨田誠也 富田诚也
山本博志 山本博志
村山慈明 村山慈明
石田直裕 石田直裕
佐藤和俊 佐藤和俊
村中秀史 村中秀史
鈴木大介 铃木大介
徳田拳士 德田拳士
松尾歩 松尾步
野月浩貴 野月浩贵
谷川浩司 谷川浩司
片上大輔 片上大辅
飯島栄治 饭岛荣治
井出隼平 井出隼平
阿部光瑠 阿部光瑠
村田顕弘 村田显弘
谷合廣紀 谷合广纪
古森悠太 古森悠太
藤井猛 藤井猛
宮嶋健太 宫岛健太
阿部健治郎 阿部健治郎
北浜健介 北滨健介
西尾明 西尾明
佐藤紳哉 佐藤绅哉
門倉啓太 门仓启太
船江恒平 船江恒平
宮田敦史 宫田敦史
小山怜央 小山怜央
伊藤真吾 伊藤真吾
森本才跳 森本才跳
吉池隆真 吉池隆真
柵木幹太 栅木干太
小山直希 小山直希
今泉健司 今泉健司
西川和宏 西川和宏
佐藤秀司 佐藤秀司
高崎一生 高崎一生
山川泰熙 山川泰熙
藤森哲也 藤森哲也
千葉幸生 千叶幸生
牧野光則 牧野光则
星野良生 星野良生
齊藤裕也 齐藤裕也
小林裕士 小林裕士
阿部隆 阿部隆
中川大輔 中川大辅
竹内雄悟 竹内雄悟
横山友紀 横山友纪
飯塚祐紀 饭塚祐纪
遠山雄亮 远山雄亮
渡辺大夢 渡边大梦
杉本昌隆 杉本昌隆
折田翔吾 折田翔吾
川上猛 川上猛
瀬川晶司 泽川晶司
畠山鎮 畠山镇
高橋佑二郎 高桥佑二郎
金井恒太 金井恒太
森下卓 森下卓
獺ヶ口笑保人 獭之口笑保人
中村亮介 中村亮介
佐藤慎一 佐藤慎一
矢倉規広 矢仓规广
田村康介 田村康介
井上慶太 井上庆太
阪口悟 阪口悟
長岡裕也 长冈裕也
中村修 中村修
村田智弘 村田智弘
宮本広志 宫本广志
先崎学 先崎学
安用寺孝功 安用寺孝功
上村亘 上村亘
渡辺正和 渡边正和
勝又清和 胜又清和
増田裕司 增田裕司
田中悠一 田中悠一
塚田泰明 塚田泰明
島朗 岛朗
窪田義行 窪田义行
近藤正和 近藤正和
真田圭一 真田圭一
髙野秀行 高野秀行
高橋道雄 高桥道雄
松本佳介 松本佳介
平藤眞吾 平藤真吾
藤原直哉 藤原直哉
豊川孝弘 丰川孝弘
日浦市郎 日浦市郎
長沼洋 长沼洋
大平武洋 大平武洋
中田功 中田功
南芳一 南芳一
畠山成幸 畠山成幸
小倉久史 小仓久史
有森浩三 有森浩三
山本真也 山本真也
富岡英作 富冈英作
北島忠雄 北岛忠雄
岡崎洋 冈崎洋
島本亮 岛本亮
神崎健二 神崎健二
神谷広志 神谷广志
浦野真彦 浦野真彦
木下浩一 木下浩一
脇謙二 脇谦二
福崎文吾 福崎文吾
泉正樹 泉正树
堀口一史座 堀口一史座
所司和晴 所司和晴
